ElapsedTime,Text,Tindoor,Tdepart,Tretour,Debit_eau,Conso_energetique_integrale
0,1.273,17.744,291.691,289.249,0.192,0.064
3600,1.232,17.565,308.755,302.356,0.200,0.894
7200,1.374,19.084,316.640,311.968,0.200,2.493
10800,1.431,19.692,317.198,312.491,0.200,3.868
14400,1.313,19.995,317.443,312.777,0.200,5.269
18000,2.490,20.247,317.226,312.761,0.200,7.058
21600,3.402,20.343,316.810,312.512,0.200,7.848
25200,4.575,20.425,315.858,311.815,0.200,8.974
28800,4.780,20.415,315.084,311.130,0.200,10.315
32400,4.522,20.396,314.950,310.976,0.200,11.049
36000,4.689,20.423,315.018,311.036,0.200,12.097
39600,5.210,20.487,314.714,310.850,0.200,13.103
43200,5.510,20.533,314.427,310.632,0.200,14.074
46800,6.591,20.624,313.829,310.226,0.200,15.383
50400,7.130,20.661,313.438,309.950,0.200,15.868
54000,7.763,20.697,312.781,309.434,0.200,16.655
57600,7.899,20.683,312.232,308.946,0.200,17.606
61200,7.891,20.671,312.137,308.849,0.200,18.123
64800,8.094,20.685,312.020,308.767,0.200,18.847
68400,8.543,20.718,311.791,308.616,0.200,19.546
72000,8.450,20.721,311.486,308.351,0.200,20.211
75600,7.671,20.694,311.806,308.518,0.200,20.915
79200,8.472,20.775,312.038,308.806,0.200,21.649
82800,9.629,20.858,311.156,308.215,0.200,22.274
86400,9.867,20.850,310.599,307.728,0.200,22.848
90000,9.921,20.835,310.289,307.447,0.200,23.400
93600,10.151,20.844,310.183,307.361,0.200,23.949
97200,10.295,20.857,309.857,307.106,0.200,24.464
100800,10.369,20.868,309.847,307.090,0.200,24.985
104400,10.660,20.902,309.703,306.976,0.200,25.485
108000,10.860,20.956,309.755,307.002,0.200,25.980
111600,10.963,21.028,309.884,307.119,0.200,26.474
115200,10.159,21.014,309.705,307.037,0.200,27.115
118800,10.340,21.003,309.730,306.985,0.200,27.506
122400,10.959,21.106,309.852,307.088,0.200,27.976
126000,11.854,21.384,310.408,307.505,0.200,28.542
129600,12.010,21.750,311.210,308.254,0.200,29.060
133200,12.461,21.848,308.226,307.322,0.155,29.466
136800,12.944,21.148,301.385,301.385,0.125,29.477
140400,12.324,20.202,302.128,298.345,0.172,29.574
144000,11.620,21.112,309.509,306.653,0.200,30.183
147600,11.296,21.335,309.973,307.167,0.200,30.409
151200,10.960,21.550,310.279,307.520,0.200,30.907
154800,10.984,21.683,310.491,307.732,0.200,31.407
158400,10.569,21.720,310.479,307.773,0.200,31.911
162000,10.446,21.689,310.315,307.623,0.200,32.418
165600,10.190,21.679,310.289,307.628,0.200,32.923
169200,9.818,21.581,309.983,307.364,0.200,33.432
172800,9.791,21.546,310.119,307.413,0.200,33.952
176400,9.460,21.522,310.308,307.540,0.200,34.489
180000,9.060,21.508,310.612,307.764,0.200,35.056
183600,8.623,21.502,310.967,308.037,0.200,35.656
187200,8.067,21.497,311.398,308.363,0.200,36.297
190800,7.916,21.517,311.806,308.715,0.200,36.977
194400,8.160,21.551,311.850,308.804,0.200,37.653
198000,8.339,21.564,311.750,308.740,0.200,38.315
201600,8.138,21.542,311.708,308.674,0.200,39.159
205200,7.977,21.533,311.830,308.758,0.200,39.766
208800,8.047,21.560,311.902,308.834,0.200,40.319
212400,9.154,21.728,311.374,308.536,0.200,41.236
216000,9.303,21.795,310.998,308.245,0.200,41.553
219600,9.708,21.967,308.995,307.975,0.163,42.135
223200,9.777,21.064,300.571,300.571,0.125,42.138
226800,9.470,20.078,300.926,296.987,0.175,42.203
