ElapsedTime,Text,Tindoor,Tdepart,Tretour,Debit_eau,Conso_energetique_integrale
0,1.269,18.323,292.083,289.853,0.195,0.078
3600,1.232,18.294,309.261,302.857,0.200,0.900
7200,1.374,19.301,316.626,311.947,0.200,2.472
10800,1.431,19.702,317.198,312.497,0.200,3.843
14400,1.412,19.957,317.467,312.798,0.200,5.605
18000,2.490,20.108,317.225,312.730,0.200,7.042
21600,3.402,20.180,316.809,312.475,0.200,7.837
25200,4.575,20.239,315.858,311.773,0.200,8.973
28800,4.780,20.237,315.084,311.090,0.200,10.325
32400,4.522,20.226,314.950,310.938,0.200,11.065
36000,4.689,20.247,315.018,310.997,0.200,12.122
39600,5.210,20.291,314.714,310.806,0.200,13.137
43200,5.510,20.324,314.427,310.585,0.200,14.117
46800,6.591,20.387,313.828,310.174,0.200,15.441
50400,7.130,20.411,313.438,309.896,0.200,15.932
54000,7.763,20.436,312.781,309.377,0.200,16.730
57600,7.899,20.426,312.232,308.891,0.200,17.695
61200,7.891,20.420,312.137,308.795,0.200,18.220
64800,8.094,20.436,312.020,308.713,0.200,18.954
68400,8.543,20.462,311.791,308.561,0.200,19.663
72000,8.450,20.466,311.485,308.295,0.200,20.338
75600,7.671,20.453,311.806,308.466,0.200,21.053
79200,8.472,20.516,312.037,308.751,0.200,21.798
82800,9.629,20.570,311.156,308.153,0.200,22.434
86400,9.867,20.565,310.599,307.667,0.200,23.019
90000,9.921,20.558,310.289,307.388,0.200,23.582
93600,10.151,20.568,310.183,307.303,0.200,24.141
97200,10.295,20.574,309.857,307.047,0.200,24.667
100800,10.369,20.585,309.847,307.031,0.200,25.198
104400,10.660,20.610,309.631,306.882,0.200,25.706
108000,10.860,20.634,309.537,306.781,0.200,26.199
111600,10.963,20.673,309.588,306.820,0.200,26.690
115200,10.159,20.660,309.552,306.767,0.200,27.331
118800,10.340,20.674,309.729,306.929,0.200,27.735
122400,10.959,20.743,309.656,306.889,0.200,28.208
126000,11.854,20.925,310.058,307.149,0.200,28.769
129600,12.010,21.179,310.754,307.789,0.200,29.282
133200,12.523,21.431,311.210,308.166,0.200,29.804
136800,12.944,21.619,311.608,308.529,0.200,30.094
140400,12.387,21.885,311.943,308.947,0.200,30.712
144000,11.620,21.876,311.531,308.703,0.200,31.292
147600,11.296,21.836,311.276,308.488,0.200,31.529
151200,10.960,21.739,310.836,308.085,0.200,32.038
154800,10.984,21.683,310.684,307.928,0.200,32.542
158400,10.569,21.623,310.485,307.779,0.200,33.048
162000,10.446,21.550,310.233,307.539,0.200,33.554
165600,10.190,21.511,310.156,307.493,0.200,34.057
169200,9.818,21.426,309.955,307.235,0.200,34.567
172800,9.791,21.403,310.120,307.383,0.200,35.095
176400,9.460,21.383,310.309,307.511,0.200,35.638
180000,9.060,21.372,310.612,307.736,0.200,36.210
183600,8.623,21.369,310.967,308.009,0.200,36.815
187200,8.067,21.370,311.398,308.336,0.200,37.461
190800,7.916,21.388,311.806,308.687,0.200,38.146
194400,8.160,21.413,311.850,308.775,0.200,38.828
198000,8.339,21.419,311.750,308.709,0.200,39.496
201600,8.138,21.402,311.708,308.644,0.200,40.348
205200,7.977,21.392,311.830,308.728,0.200,40.959
208800,8.047,21.410,311.902,308.802,0.200,41.517
212400,9.154,21.532,311.374,308.495,0.200,42.444
216000,9.303,21.583,310.998,308.200,0.200,42.765
219600,9.611,21.752,310.930,308.158,0.200,43.349
223200,9.462,21.958,308.530,307.540,0.163,44.067
226800,9.462,21.649,303.617,303.617,0.125,44.133
230400,8.516,20.621,297.591,297.591,0.125,44.133
234000,6.781,20.002,300.163,296.670,0.168,44.218
237600,5.236,20.804,313.372,309.488,0.200,45.159
241200,3.728,21.195,314.352,310.483,0.200,46.115
244800,4.440,21.462,315.175,311.344,0.200,47.161
248400,5.431,21.612,314.646,311.066,0.200,48.107
252000,5.079,21.633,314.439,310.845,0.200,49.023
255600,5.131,21.651,314.569,310.947,0.200,49.964
259200,6.757,21.712,314.085,310.708,0.200,50.850
262800,8.037,21.724,312.929,309.838,0.200,51.598
266400,8.155,21.673,312.217,309.182,0.200,52.281
270000,7.869,21.624,312.023,308.952,0.200,52.958
273600,7.390,21.592,312.187,309.033,0.200,53.660
277200,7.224,21.593,312.494,309.281,0.200,54.398
280800,7.355,21.607,312.519,309.335,0.200,55.134
284400,7.412,21.613,312.511,309.335,0.200,55.866
288000,7.463,21.610,312.454,309.290,0.200,56.800
291600,7.474,21.605,312.438,309.275,0.200,57.318
295200,8.161,21.629,312.167,309.113,0.200,58.319
298800,8.520,21.642,311.924,308.942,0.200,58.705
302400,8.941,21.661,311.482,308.593,0.200,59.328
306000,9.460,21.681,311.060,308.271,0.200,59.916
309600,10.060,21.699,310.549,307.882,0.200,60.458
313200,10.560,21.733,310.392,307.686,0.200,60.965
316800,10.198,21.739,310.303,307.641,0.200,61.667
320400,9.765,21.702,310.130,307.518,0.200,62.044
324000,9.535,21.659,310.245,307.504,0.200,62.503
327600,9.408,21.649,310.413,307.659,0.200,63.046
331200,8.637,21.623,310.749,307.872,0.200,63.619
334800,8.039,21.619,311.403,308.380,0.200,64.260
338400,8.151,21.649,311.698,308.679,0.200,64.924
342000,8.428,21.674,311.683,308.708,0.200,65.578
345600,8.525,21.677,311.527,308.587,0.200,66.213
349200,8.462,21.668,311.513,308.558,0.200,66.849
352800,8.431,21.660,311.517,308.557,0.200,67.486
356400,8.217,21.649,311.588,308.594,0.200,68.130
360000,7.945,21.642,311.780,308.731,0.200,68.795
363600,7.895,21.648,311.952,308.881,0.200,69.477
367200,7.758,21.649,311.994,308.917,0.200,70.160
370800,7.860,21.655,312.121,309.037,0.200,70.858
374400,8.374,21.665,311.877,308.883,0.200,71.720
378000,8.673,21.664,311.660,308.721,0.200,72.181
381600,9.018,21.659,311.261,308.397,0.200,72.949
385200,9.160,21.660,311.082,308.249,0.200,73.388
388800,9.461,21.675,310.861,308.080,0.200,73.963
392400,10.178,21.705,310.467,307.810,0.200,74.500
396000,10.637,21.761,310.438,307.722,0.200,75.006
399600,10.861,21.825,310.534,307.792,0.200,75.511
403200,10.783,21.887,310.645,307.914,0.200,76.300
406800,10.914,21.896,310.651,307.903,0.200,76.522
410400,11.252,21.985,309.536,308.144,0.177,77.334
414000,11.322,21.920,307.591,307.591,0.125,77.489
417600,11.610,21.124,300.103,300.103,0.125,77.489
421200,11.571,20.120,298.739,295.480,0.163,77.505
424800,11.599,20.102,301.959,297.006,0.200,77.604
428400,11.715,20.971,309.696,306.830,0.200,78.204
432000,11.763,21.406,310.393,307.530,0.200,78.693
435600,11.970,21.679,310.886,307.975,0.200,79.216
439200,12.086,21.949,310.219,308.494,0.175,79.908
442800,12.314,21.841,307.207,307.207,0.125,80.023
446400,12.320,21.046,299.606,299.606,0.125,80.023
450000,9.230,20.069,300.407,296.515,0.175,80.091
453600,9.034,20.381,309.938,303.111,0.200,80.477
457200,8.701,21.031,310.659,307.638,0.200,81.179
460800,8.023,21.280,311.423,308.322,0.200,82.019
464400,8.122,21.383,311.705,308.619,0.200,82.555
468000,8.356,21.478,311.695,308.670,0.200,83.174
471600,8.730,21.566,311.552,308.598,0.200,83.819
475200,9.010,21.630,311.241,308.371,0.200,84.428
478800,9.110,21.680,311.054,308.220,0.200,85.020
482400,9.141,21.699,310.934,308.120,0.200,85.602
486000,8.962,21.695,310.953,308.111,0.200,86.186
489600,8.834,21.683,311.080,308.208,0.200,86.981
493200,8.622,21.669,311.142,308.239,0.200,87.386
496800,8.151,21.654,311.448,308.453,0.200,88.021
500400,7.865,21.655,311.781,308.721,0.200,88.691
504000,7.471,21.654,312.052,308.932,0.200,89.384
507600,6.931,21.650,312.473,309.246,0.200,90.117
511200,6.676,21.660,312.844,309.556,0.200,90.888
514800,6.717,21.677,313.026,309.734,0.200,91.673
518400,6.710,21.682,313.052,309.765,0.200,92.455
522000,6.660,21.678,313.106,309.805,0.200,93.243
525600,6.610,21.673,313.136,309.828,0.200,94.034
529200,6.606,21.669,313.189,309.870,0.200,94.831
532800,6.630,21.664,313.166,309.857,0.200,95.624
536400,6.437,21.649,313.218,309.879,0.200,96.424
540000,5.860,21.625,313.429,310.006,0.200,97.246
543600,5.565,21.622,313.882,310.359,0.200,98.122
547200,5.374,21.622,314.043,310.499,0.200,99.252
550800,5.905,21.642,314.127,310.627,0.200,99.942
554400,6.750,21.676,313.623,310.296,0.200,100.734
558000,6.970,21.682,313.161,309.906,0.200,101.517
561600,7.485,21.720,312.877,309.699,0.200,102.277
565200,8.413,21.822,312.268,309.282,0.200,102.983
568800,8.343,21.923,311.728,308.819,0.200,103.608
572400,7.601,21.965,311.961,308.926,0.200,104.307
576000,6.571,21.912,312.611,309.389,0.200,105.299
579600,6.058,21.880,313.067,309.734,0.200,105.867
583200,5.960,21.873,313.467,310.090,0.200,106.582
586800,5.960,21.870,313.651,310.263,0.200,107.420
590400,6.008,21.863,313.712,310.323,0.200,108.261
594000,5.877,21.847,313.706,310.311,0.200,109.100
597600,5.724,21.831,313.883,310.436,0.200,109.960
601200,5.625,21.819,313.931,310.475,0.200,110.824
604800,5.268,21.798,314.107,310.589,0.200,111.708
608400,4.710,21.777,314.405,310.797,0.200,112.626
612000,4.519,21.775,314.831,311.140,0.200,113.594
615600,4.459,21.777,314.846,311.178,0.200,114.556
619200,4.440,21.772,315.042,311.338,0.200,115.544
622800,4.923,21.782,314.915,311.283,0.200,116.512
626400,5.258,21.774,314.617,311.056,0.200,117.444
630000,5.196,21.746,314.461,310.898,0.200,118.360
633600,5.305,21.722,314.416,310.858,0.200,119.532
637200,5.539,21.716,314.307,310.785,0.200,120.274
640800,5.810,21.726,314.120,310.648,0.200,121.072
644400,6.141,21.759,313.877,310.470,0.200,121.929
648000,6.606,21.802,313.562,310.246,0.200,122.753
651600,7.077,21.845,313.173,309.958,0.200,123.534
655200,7.329,21.881,312.816,309.673,0.200,124.278
658800,6.742,21.872,312.781,309.570,0.200,125.020
662400,4.820,21.793,313.743,310.201,0.200,126.213
666000,3.472,21.746,314.565,310.788,0.200,126.936
669600,2.061,21.723,315.672,311.627,0.200,127.822
673200,2.747,21.801,316.626,312.562,0.200,129.120
676800,3.873,21.855,316.119,312.286,0.200,130.109
680400,3.723,21.821,315.730,311.915,0.200,131.151
684000,3.610,21.786,315.752,311.902,0.200,132.208
687600,3.710,21.771,315.719,311.881,0.200,133.264
691200,3.766,21.755,315.661,311.832,0.200,134.313
694800,3.797,21.739,315.632,311.803,0.200,135.360
698400,3.951,21.727,315.567,311.757,0.200,136.400
702000,4.225,21.720,315.431,311.662,0.200,137.425
705600,4.322,21.703,315.245,311.508,0.200,138.428
709200,4.260,21.682,315.217,311.464,0.200,139.431
712800,4.260,21.668,315.210,311.455,0.200,140.436
