ElapsedTime,Text,Tindoor,Tdepart,Tretour,Debit_eau,Conso_energetique_integrale
417600,11.669,21.985,309.753,308.335,0.177,79.711
421200,11.621,21.924,307.668,307.668,0.125,79.857
424800,11.561,21.282,300.016,300.016,0.125,79.857
428400,11.715,20.756,296.810,296.810,0.125,79.857
432000,11.763,20.372,295.240,295.240,0.125,79.857
435600,12.119,20.070,299.850,295.293,0.175,79.912
439200,12.028,20.663,309.417,305.264,0.200,80.402
442800,12.314,21.066,310.276,307.232,0.200,80.736
446400,12.160,21.464,311.211,308.231,0.200,81.238
450000,10.203,21.554,310.665,308.008,0.200,81.681
453600,9.034,21.500,309.887,307.213,0.200,82.198
457200,8.701,21.525,310.643,307.745,0.200,82.778
460800,8.023,21.566,311.423,308.385,0.200,83.598
464400,8.122,21.604,311.704,308.667,0.200,84.125
468000,8.356,21.653,311.695,308.707,0.200,84.737
471600,8.730,21.712,311.551,308.629,0.200,85.375
475200,9.010,21.757,311.241,308.398,0.200,85.979
478800,9.110,21.796,311.054,308.245,0.200,86.566
482400,9.141,21.808,310.934,308.143,0.200,87.143
486000,8.962,21.802,310.953,308.133,0.200,87.723
489600,8.834,21.788,311.080,308.230,0.200,88.513
493200,8.622,21.774,311.142,308.261,0.200,88.915
496800,8.151,21.759,311.448,308.475,0.200,89.546
500400,7.865,21.761,311.781,308.743,0.200,90.212
504000,7.471,21.762,312.053,308.955,0.200,90.900
507600,6.931,21.765,312.474,309.270,0.200,91.629
511200,6.676,21.778,312.844,309.582,0.200,92.395
514800,6.717,21.793,313.026,309.759,0.200,93.175
518400,6.710,21.798,313.052,309.790,0.200,93.952
522000,6.660,21.796,313.106,309.830,0.200,94.735
525600,6.610,21.792,313.136,309.854,0.200,95.521
529200,6.606,21.789,313.187,309.895,0.200,96.312
532800,6.630,21.784,313.165,309.883,0.200,97.101
536400,6.437,21.774,313.217,309.906,0.200,97.894
540000,5.860,21.761,313.430,310.035,0.200,98.711
543600,5.565,21.764,313.882,310.390,0.200,99.581
547200,5.374,21.772,314.042,310.531,0.200,100.703
550800,5.905,21.790,314.127,310.659,0.200,101.388
554400,6.750,21.816,313.622,310.326,0.200,102.174
558000,6.970,21.821,313.161,309.936,0.200,102.950
561600,7.485,21.853,312.877,309.728,0.200,103.704
565200,8.548,21.960,310.413,308.941,0.170,104.610
568800,8.343,21.747,304.800,304.800,0.125,104.747
572400,7.601,21.072,298.697,298.697,0.125,104.747
576000,6.571,20.310,295.678,295.678,0.125,104.747
579600,6.039,20.008,298.951,295.789,0.179,104.826
583200,5.960,20.750,314.181,309.429,0.200,105.801
586800,5.960,21.209,313.654,310.125,0.200,106.672
590400,6.008,21.420,313.709,310.221,0.200,107.538
594000,5.877,21.531,313.705,310.239,0.200,108.394
597600,5.724,21.593,313.884,310.383,0.200,109.267
601200,5.625,21.632,313.932,310.433,0.200,110.141
604800,5.268,21.653,314.108,310.557,0.200,111.033
608400,4.710,21.666,314.405,310.772,0.200,111.957
612000,4.519,21.689,314.831,311.121,0.200,112.930
615600,4.459,21.708,314.846,311.162,0.200,113.896
619200,4.440,21.720,315.042,311.326,0.200,114.886
622800,4.923,21.735,314.915,311.272,0.200,115.857
626400,5.258,21.733,314.617,311.046,0.200,116.791
630000,5.196,21.715,314.461,310.891,0.200,117.708
633600,5.305,21.703,314.416,310.853,0.200,118.882
637200,5.539,21.703,314.307,310.782,0.200,119.624
640800,5.810,21.716,314.120,310.646,0.200,120.423
644400,6.141,21.751,313.877,310.468,0.200,121.281
648000,6.606,21.794,313.562,310.245,0.200,122.105
651600,7.077,21.833,313.173,309.955,0.200,122.886
655200,7.329,21.868,312.817,309.670,0.200,123.631
658800,6.742,21.871,312.781,309.570,0.200,124.373
662400,4.820,21.830,313.743,310.209,0.200,125.565
666000,3.472,21.809,314.565,310.802,0.200,126.286
669600,2.061,21.808,315.672,311.645,0.200,127.169
673200,2.747,21.881,316.626,312.580,0.200,128.463
676800,3.873,21.921,316.119,312.301,0.200,129.449
680400,3.723,21.892,315.730,311.931,0.200,130.487
684000,3.610,21.864,315.752,311.919,0.200,131.541
687600,3.710,21.848,315.719,311.898,0.200,132.592
691200,3.766,21.833,315.661,311.849,0.200,133.637
694800,3.797,21.818,315.632,311.820,0.200,134.680
698400,3.951,21.806,315.567,311.775,0.200,135.717
702000,4.225,21.796,315.431,311.679,0.200,136.738
705600,4.322,21.779,315.245,311.525,0.200,137.737
709200,4.260,21.760,315.217,311.481,0.200,138.737
712800,4.260,21.748,315.210,311.472,0.200,139.738
716400,4.060,21.734,315.228,311.471,0.200,140.741
720000,3.516,21.719,315.557,311.696,0.200,142.066
723600,3.574,21.728,315.734,311.863,0.200,143.100
727200,3.985,21.750,315.686,311.868,0.200,143.898
730800,4.319,21.775,315.391,311.654,0.200,144.913
734400,4.443,21.796,315.213,311.505,0.200,145.909
738000,5.678,21.871,314.588,311.088,0.200,147.314
741600,6.062,21.907,314.190,310.798,0.200,147.755
745200,4.248,21.890,310.638,309.573,0.157,149.013
748800,3.456,21.181,302.598,302.598,0.125,149.110
752400,2.881,20.302,298.554,297.398,0.140,149.120
756000,2.595,19.963,302.376,297.618,0.200,149.305
759600,2.168,20.741,317.060,311.430,0.200,150.575
763200,1.623,21.197,316.940,312.628,0.200,151.828
766800,1.419,21.414,317.285,312.966,0.200,153.098
770400,1.610,21.534,317.402,313.121,0.200,154.370
774000,1.448,21.588,317.339,313.083,0.200,155.624
777600,1.248,21.616,317.602,313.277,0.200,156.912
781200,0.976,21.630,317.586,313.270,0.200,158.193
784800,0.910,21.643,317.924,313.538,0.200,159.523
788400,1.246,21.659,317.765,313.453,0.200,160.824
792000,1.454,21.658,317.671,313.383,0.200,162.112
795600,1.536,21.648,317.475,313.226,0.200,163.374
799200,2.655,21.653,317.157,313.044,0.200,164.938
802800,3.610,21.653,316.625,312.670,0.200,165.781
806400,5.498,21.631,315.347,311.719,0.200,167.077
810000,6.276,21.600,314.513,311.049,0.200,167.735
813600,7.393,21.548,313.358,310.105,0.200,168.794
817200,8.200,21.538,312.759,309.643,0.200,169.304
820800,8.805,21.531,311.821,308.878,0.200,169.955
824400,8.888,21.522,311.429,308.507,0.200,170.580
828000,9.399,21.528,311.093,308.256,0.200,171.179
831600,9.710,21.530,310.654,307.901,0.200,171.735
835200,9.762,21.510,310.335,307.610,0.200,172.606
838800,9.705,21.500,310.293,307.565,0.200,172.806
842400,9.435,21.481,310.459,307.662,0.200,173.357
846000,9.023,21.474,310.632,307.778,0.200,173.924
849600,8.364,21.474,311.093,308.112,0.200,174.538
853200,8.060,21.494,311.537,308.486,0.200,175.194
856800,7.860,21.515,311.822,308.732,0.200,175.872
860400,8.098,21.540,311.992,308.905,0.200,176.564
864000,8.684,21.558,311.642,308.685,0.200,177.213
867600,8.808,21.548,311.380,308.458,0.200,177.837
871200,8.430,21.529,311.325,308.362,0.200,178.457
874800,7.852,21.519,311.683,308.603,0.200,179.120
878400,7.488,21.528,312.050,308.898,0.200,179.822
882000,7.581,21.550,312.317,309.146,0.200,180.546
885600,7.754,21.563,312.185,309.074,0.200,181.248
889200,7.762,21.564,312.205,309.083,0.200,181.954
892800,7.784,21.562,312.133,309.023,0.200,182.837
